name,img,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
Will Guest Homestay,https://cf.bstatic.com/xdata/images/hotel/square200/228696351.webp?k=34f945f4d33841bc24916ec9bc7403c895b5a837883f8499cf9af756c6333feb&o=," 3,769","1 night, 1 adult",Superior Chalet with Mountain View,1 double bed,9.7,Exceptional,609 reviews,https://www.booking.com/hotel/lk/will-guest-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=140695404_272864309_2_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=27&highlighted_blocks=140695404_272864309_2_2_0&hpos=2&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=140695404_272864309_2_2_0__1913&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
49 Ella,https://cf.bstatic.com/xdata/images/hotel/square200/222488028.webp?k=1a4b057ca7851fefd1ec8706ffc40f8a3347a5bfa07ed31c229f0991d554e5e5&o=," 4,925","1 night, 1 adult",Triple Room with Balcony,"2 beds
(1 single, 1 large double)",9,Superb,43 reviews,https://www.booking.com/hotel/lk/49-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=548342209_199750629_1_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=29&highlighted_blocks=548342209_199750629_1_41_0&hpos=4&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=548342209_199750629_1_41_0__2500&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
The Spice Lodge,https://cf.bstatic.com/xdata/images/hotel/square200/167454931.webp?k=b0164264047e2c22e3f482531dba91b32bad6d82d02113dccac6fc296a571ae0&o=," 6,403","1 night, 1 adult",Deluxe Double Room,1 large double bed,9.4,Superb,258 reviews,https://www.booking.com/hotel/lk/the-spice-lodge.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=165740201_266087613_1_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=30&highlighted_blocks=165740201_266087613_1_1_0&hpos=5&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=165740201_266087613_1_1_0__3250&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Holiday Homes Guest Inn - Ella,https://cf.bstatic.com/xdata/images/hotel/square200/236934733.webp?k=87ec1c799bf21b1f142a34109d239a18f0228e0a843aa502def4a2f9e148f760&o=," 3,152","1 night, 1 adult",Double or Twin Room with Shower,2 double beds,9,Superb,178 reviews,https://www.booking.com/hotel/lk/holiday-homes-guest-inn-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=104156201_271767082_1_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=31&highlighted_blocks=104156201_271767082_1_42_0&hpos=6&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=104156201_271767082_1_42_0__1600&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Inspira ella,https://cf.bstatic.com/xdata/images/hotel/square200/244389409.webp?k=c81e0803fa6ba63293bd751834558f4602c628329a018d696d634bfbce870a63&o=," 8,373","1 night, 1 adult",Apartment with Terrace,1 extra-large double bed,9.2,Superb,18 reviews,https://www.booking.com/hotel/lk/inspira-ella-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=619425303_269320674_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=33&highlighted_blocks=619425303_269320674_2_1_0&hpos=8&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=619425303_269320674_2_1_0__4250&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Snuggle Cottage,https://cf.bstatic.com/xdata/images/hotel/square200/170414790.webp?k=3c32431fa52322d22980e237c9f7e3788d968326688ed31d84471244615952f0&o=," 3,901","1 night, 1 adult",Deluxe Room,2 large double beds,9.6,Exceptional,77 reviews,https://www.booking.com/hotel/lk/snuggle-cottage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=429969601_179503066_1_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=34&highlighted_blocks=429969601_179503066_1_1_0&hpos=9&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=429969601_179503066_1_1_0__1980&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Marvellous Inn,https://cf.bstatic.com/xdata/images/hotel/square200/236934515.webp?k=bee97014f1e5cf0fcee01c5e502b8ce24ef7fc7f3679b935e447363151e06a0b&o=," 4,787","1 night, 1 adult",Family Room with Mountain View,2 large double beds,9.5,Exceptional,315 reviews,https://www.booking.com/hotel/lk/marvellous-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=212458401_252689385_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=35&highlighted_blocks=212458401_252689385_2_1_0&hpos=10&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=212458401_252689385_2_1_0__2430&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Avenra Cottage,https://cf.bstatic.com/xdata/images/hotel/square200/244166847.webp?k=84a1751750d4bf87e6d31e00006ca275cb84dd6551d50c59f00db6f6ba82db96&o=," 4,531","1 night, 1 adult",Standard Family Room,2 double beds,9.6,Exceptional,5 reviews,https://www.booking.com/hotel/lk/avenra-cottage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=623510501_242856192_0_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=36&highlighted_blocks=623510501_242856192_0_2_0&hpos=11&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=623510501_242856192_0_2_0__2300&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Box on clouds,https://cf.bstatic.com/xdata/images/hotel/square200/151333947.webp?k=c8b566ca9eaab5602b167b8d398336b7d746a041b1a9cec946e57eddd2328400&o=," 8,274","1 night, 1 adult",Deluxe Double Room with Balcony,1 double bed,8.9,Fabulous,220 reviews,https://www.booking.com/hotel/lk/box-on-clouds.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=331289301_265501576_1_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=37&highlighted_blocks=331289301_265501576_1_2_0&hpos=12&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=331289301_265501576_1_2_0__4200&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Lavendra Paradise,https://cf.bstatic.com/xdata/images/hotel/square200/299403427.webp?k=10035af9ad2f73321bc7999ffc114b1f5e48e1376ac87668b7a7e89e6d500189&o=," 3,940","1 night, 1 adult",Double Room with Mountain View,1 large double bed,9.7,Exceptional,347 reviews,https://www.booking.com/hotel/lk/lavendra-paradise.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=213534401_265505069_0_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=38&highlighted_blocks=213534401_265505069_0_2_0&hpos=13&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=213534401_265505069_0_2_0__2000&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Ella Mount Relax Cottage,https://cf.bstatic.com/xdata/images/hotel/square200/62542042.webp?k=9dbdeef4bbda4c180ecdae19aae382d0435e885e8bd4c1ac537a8b9bce106e54&o=," 8,865","1 night, 1 adult",Triple Room with Mountain View,"2 beds
(1 single, 1 double)",9.1,Superb,286 reviews,https://www.booking.com/hotel/lk/ella-mount-relax-cottage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=167906902_221112958_1_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=39&highlighted_blocks=167906902_221112958_1_1_0&hpos=14&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=167906902_221112958_1_1_0__4500&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Ella Ecolodge,https://cf.bstatic.com/xdata/images/hotel/square200/59717701.webp?k=bb42c70768cdd2fc2c3da3301831ded0b1380c7bd781421f9d7f8983b24cdcc5&o=," 7,683","1 night, 1 adult",Double or Twin Room with Mountain View,2 single beds,8.4,Very good,198 reviews,https://www.booking.com/hotel/lk/ella-ecolodge.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=113858702_270864882_0_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=40&highlighted_blocks=113858702_270864882_0_0_0&hpos=15&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=113858702_270864882_0_0_0__3900&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Happy Horizon Home Stay,https://cf.bstatic.com/xdata/images/hotel/square200/222195904.webp?k=c198d3440540aa6773cc879d72c3876763a507479a8f063952f0a0f66f81fcc5&o=," 2,967","1 night, 1 adult",Family Room with Mountain View,"3 beds
(2 singles, 1 extra-large double)",9.8,Exceptional,65 reviews,https://www.booking.com/hotel/lk/happy-horizon-home-stay.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=495258101_166379668_1_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=41&highlighted_blocks=495258101_166379668_1_1_0&hpos=16&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=495258101_166379668_1_1_0__1506&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Ella River Front,https://cf.bstatic.com/xdata/images/hotel/square200/112991347.webp?k=d2f98823537ca5b9f67497532897b16d16e31f353e56b904df7187184f822f84&o=," 1,755","1 night, 1 adult",Deluxe Double Room with Mountain View,1 large double bed,8.9,Fabulous,190 reviews,https://www.booking.com/hotel/lk/ella-river-front.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=148960202_116641369_1_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=42&highlighted_blocks=148960202_116641369_1_42_0&hpos=17&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=148960202_116641369_1_42_0__891&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Brilliant View Home Stay,https://cf.bstatic.com/xdata/images/hotel/square200/42159478.webp?k=4fea095e4cd7477ea28ea9ebde5018ed0af8d899aa322ebd70fc113be336f95c&o=," 3,546","1 night, 1 adult",Budget Double Room,1 double bed,9,Superb,199 reviews,https://www.booking.com/hotel/lk/brilliant-view-home-stay.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=129256801_200321400_2_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=43&highlighted_blocks=129256801_200321400_2_0_0&hpos=18&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=129256801_200321400_2_0_0__1800&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Jayamali Homestay,https://cf.bstatic.com/xdata/images/hotel/square200/237825577.webp?k=cdf760344a5a6679ba7161a7d5951a16d4aa5ea90414dc7195448aa9074cef87&o=," 3,467","1 night, 1 adult",Superior Double Room,1 large double bed,9.1,Superb,153 reviews,https://www.booking.com/hotel/lk/jayamali.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=224099905_247099245_0_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=44&highlighted_blocks=224099905_247099245_0_1_0&hpos=19&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=224099905_247099245_0_1_0__1760&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Jade Green Rest Inn,https://cf.bstatic.com/xdata/images/hotel/square200/232054384.webp?k=13aecb5e711df85c53019a1513879b9a296e0452c1bcbeaf28d4ad24351ed5a0&o=," 3,546","1 night, 1 adult",Deluxe Double Room with Balcony,1 extra-large double bed,8.9,Fabulous,27 reviews,https://www.booking.com/hotel/lk/jade-green-rest-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=470680901_146058345_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=45&highlighted_blocks=470680901_146058345_2_1_0&hpos=20&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=470680901_146058345_2_1_0__1800&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Ella Silloam,https://cf.bstatic.com/xdata/images/hotel/square200/176709744.webp?k=c427ef88d63183a278e6256340dac19c81f3f09d776e3e8586e98ff537ddcc93&o=," 5,910","1 night, 1 adult",Holiday Home,1 double bed,9.4,Superb,26 reviews,https://www.booking.com/hotel/lk/ella-silloam.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=436659401_234062871_2_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=47&highlighted_blocks=436659401_234062871_2_0_0&hpos=22&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=436659401_234062871_2_0_0__3000&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
OwinHill Cottage,https://cf.bstatic.com/xdata/images/hotel/square200/241894190.webp?k=e043ce4312ba9275721ae5999fc6fecbcae13de6c38c6d7430cd1e35c83bf2ed&o=," 5,591","1 night, 1 adult",Quadruple Room with Mountain View,2 double beds,9.7,Exceptional,15 reviews,https://www.booking.com/hotel/lk/owinhill-cottage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=606611501_237717817_2_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=48&highlighted_blocks=606611501_237717817_2_42_0&hpos=23&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=606611501_237717817_2_42_0__2838&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
"THE "" ONEX PARADISE "" ELLA",https://cf.bstatic.com/xdata/images/hotel/square200/171705317.webp?k=00ea4b5f7f9078985d6d617633a457b1a89c327c3c417ac9a89b2f359bb03aea&o=," 3,516","1 night, 1 adult",Deluxe Triple Room,"2 beds
(1 single, 1 double)",9.4,Superb,37 reviews,https://www.booking.com/hotel/lk/the-quot-onex-paradise-quot-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=434139801_205163096_1_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=49&highlighted_blocks=434139801_205163096_1_0_0&hpos=24&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=434139801_205163096_1_0_0__1785&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Angel's view ella,https://cf.bstatic.com/xdata/images/hotel/square200/217228317.webp?k=15f0e7e015535cd558b8fdec1d5ebe81e87e760c8a13f96dc8c57a4f3ff73a29&o=," 4,531","1 night, 1 adult",Deluxe Double Room with Balcony,1 extra-large double bed,9,Superb,111 reviews,https://www.booking.com/hotel/lk/angel-39-s-view-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=551864401_204981422_2_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=50&highlighted_blocks=551864401_204981422_2_41_0&hpos=25&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=551864401_204981422_2_41_0__2300&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
Zircon Ella,https://cf.bstatic.com/xdata/images/hotel/square200/291482304.webp?k=1ee5965eabf886865a17c1f5a773700a42c90d49d64aa22557ce6ac080d5790d&o=," 3,349","1 night, 1 adult",Deluxe Double or Twin Room with Mountain View,1 extra-large double bed,9.4,Superb,63 reviews,https://www.booking.com/hotel/lk/zircon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=210713503_203041205_0_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=51&highlighted_blocks=210713503_203041205_0_42_0&hpos=1&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=210713503_203041205_0_42_0__1700&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1E1Aun6PQ&from=searchresults;highlight_room=#hotelTmpl
Green Village,https://cf.bstatic.com/xdata/images/hotel/square200/201968994.webp?k=5301f30fc71df7fdff87b5e7dce3c69edca42528b5a0d339771a29828f912874&o=," 2,728","1 night, 1 adult",Double Room with Ella Rock View,1 extra-large double bed,8.9,Fabulous,574 reviews,https://www.booking.com/hotel/lk/green-village.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=163659302_95048472_1_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=52&highlighted_blocks=163659302_95048472_1_2_0&hpos=2&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=163659302_95048472_1_2_0__1385&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1FI2QL7NJ&from=searchresults;highlight_room=#hotelTmpl
Wood Heart,https://cf.bstatic.com/xdata/images/hotel/square200/188093728.webp?k=6a2f3d15f1ef6c7291af681ca2f0c35ed49084b07c565f65804f063f707c0da8&o=," 2,837","1 night, 1 adult",Double Room with Balcony,1 double bed,9.7,Exceptional,126 reviews,https://www.booking.com/hotel/lk/wood-heart-guset-inn-ella-sri-lanka.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=b9f8e0111b5b3a7b60714dcc593d4b58&all_sr_blocks=360507502_242269086_2_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=53&highlighted_blocks=360507502_242269086_2_41_0&hpos=3&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=360507502_242269086_2_41_0__1440&srepoch=1621576326&srpvid=da3f2942e3570191&ucfs=1&sig=v1f0BVgK_b&from=searchresults;highlight_room=#hotelTmpl
