name,img,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
Morning Dew Hotel,https://cf.bstatic.com/xdata/images/hotel/square200/254250770.webp?k=85e17a205acb30d94694df78d81bd2a8836a55b01e85eef7a99614116a5490dc&o=," 9,574","1 night, 1 adult",Deluxe Double Room,1 large double bed,8.3,Very good,234 reviews,https://www.booking.com/hotel/lk/morning-dew.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=144238001_265471129_1_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=11&highlighted_blocks=144238001_265471129_1_42_0&hpos=11&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=144238001_265471129_1_42_0__4860&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1e_jCqmVR&from=searchresults;highlight_room=#hotelTmpl
Ella Red Rock,https://cf.bstatic.com/xdata/images/hotel/square200/142139553.webp?k=c82a7174bfd7dda5e3b609caeebefe7a250164adbf5e1765ad663af0396ff7a9&o=," 4,964","1 night, 1 adult",Deluxe King Room with Ella Rock View,2 double beds,9,Superb,212 reviews,https://www.booking.com/hotel/lk/ella-red-rock.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=336073804_295349396_1_34_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=13&highlighted_blocks=336073804_295349396_1_34_0&hpos=13&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=336073804_295349396_1_34_0__2520&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1_5__7xPT&from=searchresults;highlight_room=#hotelTmpl
Lucky Star Ella,https://cf.bstatic.com/xdata/images/hotel/square200/219946248.webp?k=33dc6ea4b9ea953831f5fc64d4dd262a5018e0097d1c00b17bb7607e6aa566b9&o=," 2,679","1 night, 1 adult",Double Room with Balcony,1 double bed,8.5,Very good,745 reviews,https://www.booking.com/hotel/lk/lucky-star-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=117569402_265169583_1_34_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=15&highlighted_blocks=117569402_265169583_1_34_0&hpos=15&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=117569402_265169583_1_34_0__1360&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1UTAH3VRr&from=searchresults;highlight_room=#hotelTmpl
Ella waterfall view,https://cf.bstatic.com/xdata/images/hotel/square200/217318617.webp?k=7c79c7c4a24f16f520a4863f49c82bba1fe9d6a88dc525bc008d396c7bd2f057&o=," 3,398","1 night, 1 adult",Double Room with Private Bathroom,1 extra-large double bed,9.3,Superb,315 reviews,https://www.booking.com/hotel/lk/ella-waterfall-view.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=180318801_102811985_1_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=18&highlighted_blocks=180318801_102811985_1_1_0&hpos=18&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=180318801_102811985_1_1_0__1725&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1NXHTIhvU&from=searchresults;highlight_room=#hotelTmpl
Heart of Ella,https://cf.bstatic.com/xdata/images/hotel/square200/229826226.webp?k=64dfc32eb764c9323d9736c04fbf7ad4a15feef6114059baef599c6348dfc6b4&o=," 5,171","1 night, 1 adult",Deluxe Double Room with Ella Rock View,1 double bed,8.6,Fabulous,113 reviews,https://www.booking.com/hotel/lk/heart-of-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=583867601_288659147_1_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=19&highlighted_blocks=583867601_288659147_1_41_0&hpos=19&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=583867601_288659147_1_41_0__2625&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1YWTIFA9N&from=searchresults;highlight_room=#hotelTmpl
88th - ELLA,https://cf.bstatic.com/xdata/images/hotel/square200/245386763.webp?k=d9b535d72d1bea8f0d0863336d84d7b69e7314c39944fa8aa6239ab04f9d3102&o=," 9,545","1 night, 1 adult",Deluxe Double Room,1 large double bed,7.7,Good,186 reviews,https://www.booking.com/hotel/lk/ella-royal-ace.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=304451202_310846166_1_34_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=21&highlighted_blocks=304451202_310846166_1_34_0&hpos=21&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=304451202_310846166_1_34_0__4845&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1r8a4xAX4&from=searchresults;highlight_room=#hotelTmpl
Freedom Guest Inn Ella,https://cf.bstatic.com/xdata/images/hotel/square200/269903853.webp?k=1e1e7d84feaee8ceab692c7d664e33d71434cf383e61ec7b13f69bfeb1317d95&o=," 5,451","1 night, 1 adult",Standard Double Room,1 large double bed,8.6,Fabulous,294 reviews,https://www.booking.com/hotel/lk/freedom-guest-inn-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=67729702_309999972_0_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=22&highlighted_blocks=67729702_309999972_0_1_0&hpos=22&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=67729702_309999972_0_1_0__2767&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1WD1YxVzP&from=searchresults;highlight_room=#hotelTmpl
Rowinrich Cottages,https://cf.bstatic.com/xdata/images/hotel/square200/119686486.webp?k=d5b524f7621994e69d719234337ec658940827bde2a1ba4c6638189de0a10d19&o=," 5,043","1 night, 1 adult",Deluxe Double Room,1 large double bed,8.3,Very good,555 reviews,https://www.booking.com/hotel/lk/rowinrich-cottages.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=208851601_265179541_1_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=23&highlighted_blocks=208851601_265179541_1_0_0&hpos=23&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=208851601_265179541_1_0_0__2560&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1jHoCZmDy&from=searchresults;highlight_room=#hotelTmpl
Ella 100 View Cottage,https://cf.bstatic.com/xdata/images/hotel/square200/177388948.webp?k=62043017a6fd91fe5478bbe474b532a8e5ff3fe6980ec1ea827de6cc675ba26b&o=," 2,955","1 night, 1 adult",Double Room with Balcony,1 extra-large double bed,9.6,Exceptional,172 reviews,https://www.booking.com/hotel/lk/ella-100-view-cottage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=447745601_134712721_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=25&highlighted_blocks=447745601_134712721_2_1_0&hpos=25&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=447745601_134712721_2_1_0__1500&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1zbHKKQUu&from=searchresults;highlight_room=#hotelTmpl
Eminence ella,https://cf.bstatic.com/xdata/images/hotel/square200/279575578.webp?k=c1a456a5e9b550560694f0cd238575e45c79e429cae6728ba77b9413c811f047&o=," 2,660","1 night, 1 adult",Double Room with Mountain View,1 double bed,10,Exceptional,3 reviews,https://www.booking.com/hotel/lk/eminence-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=203ed2744be715fdb20a2dec3709d500&all_sr_blocks=694670401_285627112_1_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=26&highlighted_blocks=694670401_285627112_1_0_0&hpos=1&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=694670401_285627112_1_0_0__1350&srepoch=1621576324&srpvid=56a0294179c100d2&ucfs=1&from=searchresults;highlight_room=#hotelTmpl
